Feature	domain	phylum	class	order	family	genus	species	ASV
aa2bdbad896561f7cf5404156e716bba	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera	Unassigned_Rheinheimera	aa2bdbad896561f7cf5404156e716bba
e1944c33b74724d6708a6b5f6df541b5	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Unassigned_Chloroplast	e1944c33b74724d6708a6b5f6df541b5
e9d12caff8ede52c41491da0cef7d9d5	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Unassigned_Chloroplast	e9d12caff8ede52c41491da0cef7d9d5
73c4532a9d69dacae73ad00463ff47dd	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned_Pseudomonas	73c4532a9d69dacae73ad00463ff47dd
ce013a6c7aebcb3670d18f75a0d947cb	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Unassigned_Cutibacterium	ce013a6c7aebcb3670d18f75a0d947cb
a75ff47a4b6722335c0785310013db5d	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	D05-2	D05-2	Unassigned_D05-2	a75ff47a4b6722335c0785310013db5d
deca4e2d005f1da3b8e7463c58c31b22	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Unassigned_Ruminococcus	deca4e2d005f1da3b8e7463c58c31b22
b48b871a122a2a1367ee0e90fe16f4f7	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	Unassigned_Gordonia	b48b871a122a2a1367ee0e90fe16f4f7
8e5e672a2894bb7bc540bdd16b2d6fc9	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Unassigned_Collinsella	8e5e672a2894bb7bc540bdd16b2d6fc9
eae949e4f0b2412483975305a3a7ccf2	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	Unassigned_67-14	eae949e4f0b2412483975305a3a7ccf2
36edd7f9bb9ef429e733e09545307680	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	Unassigned_Curtobacterium	36edd7f9bb9ef429e733e09545307680
7605d83cc07947545d64a5765446fe4f	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Unassigned_Geobacillus	7605d83cc07947545d64a5765446fe4f
52a284dcbafdc974f5acff9ad7fc08be	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	Terrimicrobium	Unassigned_Terrimicrobium	52a284dcbafdc974f5acff9ad7fc08be
4611bbe8ac2f1ad6f190ffc91f4ebd8f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	Unassigned_Bosea	4611bbe8ac2f1ad6f190ffc91f4ebd8f
c0efe713955d55c66b71b3c758008a69	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group	Unassigned_[Ruminococcus]_torques_group	c0efe713955d55c66b71b3c758008a69
fe4eac651863756a979c7ee479d24da6	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Unassigned_Actinomyces	fe4eac651863756a979c7ee479d24da6
1b50fb259a9ae2439c00158615386dc5	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Unassigned_Pseudonocardia	1b50fb259a9ae2439c00158615386dc5
f602b6a9eb83eec60481d422a23e05ac	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Unassigned_Devosia	f602b6a9eb83eec60481d422a23e05ac
728a8b56017c66c69ed8807301ecdb5d	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Unassigned_Corynebacterium	728a8b56017c66c69ed8807301ecdb5d
cb04e1657568ba39f8be44b3819f4652	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Unassigned_Leuconostoc	cb04e1657568ba39f8be44b3819f4652
49ddc3fa94c17e338947d5eba1ec2558	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned_Streptococcus	49ddc3fa94c17e338947d5eba1ec2558
d1d9d6b6ec6d8d75eaea0d6cde9bb05e	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	Unassigned_Roseomonas	d1d9d6b6ec6d8d75eaea0d6cde9bb05e
e23d3f2f85afe5f2db278003027cbe3e	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Unassigned_Lactococcus	e23d3f2f85afe5f2db278003027cbe3e
8965c094445a0a602984a64ef7148670	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned_Pseudomonas	8965c094445a0a602984a64ef7148670
e6d380df3b184803ed0e1ae6c4112613	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Unassigned_Leptotrichia	e6d380df3b184803ed0e1ae6c4112613
21707bdc18ab9190a80bca00d3a8b742	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	Unassigned_Mitochondria	21707bdc18ab9190a80bca00d3a8b742
8b18df0d39f611bf2f9e73bdd79a78bf	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned_Bacillus	8b18df0d39f611bf2f9e73bdd79a78bf
c14d1a92426e575a2bf33e3f006263bd	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Unassigned_Chloroplast	c14d1a92426e575a2bf33e3f006263bd
5102b3d0b2bb9ea1530b84e1d236bde6	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermacoccaceae	Kytococcus	Unassigned_Kytococcus	5102b3d0b2bb9ea1530b84e1d236bde6
fad6a23ff0827dbcd9ce31e0bc5f0190	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Pseudoclavibacter	Unassigned_Pseudoclavibacter	fad6a23ff0827dbcd9ce31e0bc5f0190
cc4035f4fe9c103141cc73f0d7a5fd66	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Gallicola	Unassigned_Gallicola	cc4035f4fe9c103141cc73f0d7a5fd66
9307a1fdee756a67dd405b0a2ab319fa	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Unassigned_Oceanobacillus	9307a1fdee756a67dd405b0a2ab319fa
30b6d2acb902de1f87ed29c8f1e99301	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Meiothermus	Unassigned_Meiothermus	30b6d2acb902de1f87ed29c8f1e99301
c4036b5c0a5ad86997f3e3c6b5b01969	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	Unassigned_Anaerococcus	c4036b5c0a5ad86997f3e3c6b5b01969
