sequence	16S_rRNA_Count	metadata_NSTI
05effdf6ea2e2083d5f9a070c4cab582	1	0.26664699999999997
05f8b2c9098187a61ca23ff9ad5e9f8d	3	0.016496
06099c6642efdde5ce02ea9ced380f78	1	0.0517
060a52c012df1c5668c2d5cf53dfb1e3	2	0.133187
06124d73fd47ea08b9527f9c3e73ae1b	10	2.908398
0614bde09db01fb30a59d3b8c928a826	1	0.044039
06165597a5caed5e7482d7f6350e142a	1	0.012497
06189c40c07eca477f8878d85827cbf4	2	0.081103
061aa152e644d9a322ba27fb7aa7fb43	2	0.016523
0623c8557cbc433a0a08641d33060d5d	4	0.02081
06250dc83af07fed72c669564d728b5f	1	0.0216
062c141a189e9ad2fa2bb95a5078a503	2	0.10345599999999999
063781743811518e01f2795a22432206	1	0.056169000000000004
063907cc5b416c8c7b2cda4d2ee781e7	1	0.086133
06392e15bb3e9560c283fba01d51e461	1	0.012121999999999999
063c29c3b3b19b8450e284abcd552581	1	0.049661000000000004
063edd2abdafbc9b21643651e4034b61	1	0.086056
0640f8f3dd961b9e2d6f5afa7e39b477	1	0.445375
0641c6b340ebdf9fb89a6b5b342c1130	1	0.086628
06471ac5a2452ba6a2557ac6dc57be58	3	0.032952999999999996
065d2549f86e01a8080d5e7d330a13ce	1	0.337931
0663a57eb35a5a86c0b4dcd8d9dd5166	10	2.581497
066acf5706a2767592c47840401a9041	1	0.012089
066bad0b055005498cfcf49915822de4	1	0.091269
067008c562be50cb58cdfdae6f10dbb6	1	0.016706
067436914bf3d40b333b8474f1644f8c	1	0.008117000000000001
0674d8965ca183152747be725b4dd5b3	1	0.18831199999999998
067820ad787978bef07db6bc27c8396b	1	0.056479999999999995
06792ae7ecc635bf5739c08abfc49e89	10	2.581497
0684f2ce349490d686bfeaebc0ff5798	1	0.12324500000000001
068aceb75d944f5e0ca844a241254a1b	1	0.126079
068e73176e4e086b66f7a7f6446b1393	1	0.19359200000000001
068f97272cc61272078ee3e46f586b17	1	0.028417
068fcc729c3b710d2efa120924b9cb18	1	0.016505000000000002
069353dde5a1d8764a2575d8fc98be6d	1	0.012037
069693d079fa2b1a719f477cc5ac5c9b	1	0.052864999999999995
069c2701610b73ab41a2b120a5080924	1	0.07270499999999999
069d92fe2e085618856bd3d6c20ee327	1	0.0296
06adf5dbf29fe6d09674472ebad501a9	10	3.087065
06b0be6b839bbab24762758ff08f1ce6	1	0.012385
06b5a91dd09669f595cea37aecb6a7c5	1	0.032788
06b7888f959ee7c59230a35e17905231	1	0.667168
06b9c65d0dfe4c5401bf0ceffc168f8f	2	0.300016
06ba3d0b16268de25762b96dd0957866	1	0.043999
06bccdfa62ecc0b067d15be98702c2b1	1	0.9153899999999999
06c0340db90db9d0f35c60ef9007bdd8	2	0.037474
06c1c286cdb6c6025dd033354a946430	1	0.079992
06c5844f7a9dfcd57a9284c81a47052c	1	0.136022
06c9962e8d8b2bc56378b1e0c7ec707b	1	0.014062999999999999
06ca32d847f34ae08c29661127ac1820	1	0.137905
06d183405b34201609399cb3289fb4de	1	0.008126000000000001
06d2563435aea2dba89688de4fd2e9ad	1	0.027402999999999997
06d6e63bd98a7284a0dca091949ee184	1	0.068064
06d7663f2d1cface75000de463d491a5	1	0.011889
06d81b607155629174e17e74e0c640e6	1	0.0040490000000000005
06dbbeb8020316e9bff6d5a84d58d973	1	0.07804
06e5e412fce99c168618bbc0e0d269bc	1	0.026768
06e69291183729e6374e15e5d06b3f82	1	0.26526900000000003
06e8e67767a23f6a6ffdb923e2645b7c	1	0.031538
06e961544d3da989d33460beb9ac55f2	1	0.07506499999999999
